0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Hàng chất lượng có mã nên mua với giá 9k ổm áp là được rồi kkkk tot0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: tot  Màu sắc: dp  Đúng với mô tả: dung  Bsjsttqoqkamanqpyabssjysgs....  H/a chỉ mabg tính chất nhận xu....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: mỏng  Màu sắc: đen trắng  Giao áo nhanh mà sau áo logo bị dính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,giặt phát sẽ thấy bất ngờ ạ 🐸, ncl cũng surprise mother fucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: mát  Màu sắc: đen  Đúng với mô tả: đúng  Sản phẩm tốt lắm nha shop nhiệt tình áo đẹp lắm đúng với mô tả ạ   Xinh lắm sẽ ủng hộ shop tiếp nhé ạ hikikikijikikijukjkjkjkjkjkjkjjjjjjjjkjjkjjjkjjkjhsbjzmzbbshjsnnznNbzhhsnsnhznmzmmNjshaccahwjnsnsnsjnznznznnznz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Sản phẩm rất ok   Vãi khá đẹp   Giao hàng nhanh  Nói chung tổng quát oke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: không biết =))  Màu sắc: trắng  Có chỉ thừa nhưng cũng ko nhiều  M55 dài qua mông đúng ý mình   Áo cũng bình thường ko dày dặn lắm  Tay áo mình thấy hơi mỏng hay sao ấy0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: êm  Màu sắc: trắng  Đúng với mô tả: ☑️  Vừa í màu đẹp ( video và hình ảnh chỉ mang tính chất nhận xuu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vải mỏng lắm  Màu sắc: trắng  Đúng với mô tả: khum  Vải khá mỏng phải mặc thêm áo lá bên trong nhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Màu sắc: ok  Đúng với mô tả: ok  Đẹp chất lượng tuy còn chỉ thừa nhưng vẫn cứ là ok ok ok ok. Hình ảnh minh họa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: khá ok  Hình ảnh và viiiii điiiii ooooo mang tính chất nhận xu, vải đẹp, mềm mịn sáng bóng, kim chi đỏ ao, thơm phức dé ha=)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Màu sắc: Đen  Giao hàng nhanh, đúng sản phẩm, giá hợp lý, nói chung là mn nên mua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Khong is the one who wants it for me and the other ones that I don’t0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: đúng với mô tả  Màu sắc: đen  Đúng với mô tả: đúng  Sản phẩm rất tốt áo đẹp chất liệu tạm ổn mặt vô rất đẹp k có chỉ thừa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Sản phẩm như hình đóng gói tốt chất vải đẹp nhưng hơi mỏng mặc mát và dễ chịu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: oki r chị ấy cũng không phải vì vậy mà mình  Màu sắc: ok tạm  Đúng với mô tả: khá  Nói là không phải ai cũng muốn làm gì cho nó là một phần là vì sao lại không được phép làm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vải  Màu sắc: đen  Đúng với mô tả: đúng  Vải thoáng mát rất ok. Đáng mua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: thun  Màu sắc: hồng trắng  Đúng với mô tả: vải mềm mịn đẹp  Vải rất đẹp như nhìn rất ân ý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Sản phẩm tốt đẹp. Nội dung sau chỉ mang tính chất nhận xu ài ố sì mà0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: khá là mỏng, vải j đó ko bt  Màu sắc: đen, trắng  Đúng với mô tả: đúng  +Giao hàng nhanh  + Cả 2: khá mỏng, nhìn chung áo đẹp, mặc vào có hơi hầm 1 chút   + Màu đen  Chỉ thừa nhiều ạ  + Màu trắng  Đỡ hơn màu đen nhưng mỏng hơn màu đen 1 tí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: ok  Màu sắc: Ok  Đúng với mô tả: b  Bsgshshdhdhdheyeueyehhshshsbshshshshhdhdhdhhh hàng ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: ổn  Màu sắc: trắng  Đúng với mô tả: ổn  So với tầm giá thì ko đòi hỏi nhiều áo oke la jdididkv usgdifjd jsufknfhsid kdkdiwgbdjfusigfd jshdjsbufjshfjdbfhd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: mỎng mát  Vải hơi mỏng sz L hơi giống sz M nhm mùa hè mặc mát thật sự luôn nên mua nhaaaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,áo đẹp như hình chất vải ko quá mỏng đâu nha mn mặc cũng ok lắm lên hình đẹp nên mua nha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: Vải mềm  Màu sắc: Trắng  Đúng với mô tả: Ok  Vu Đồ: Bạn học Kiều Tinh Tinh, chúng ta quen biết đã gần 16 năm. Vì cái nhìn phiến diện của anh, chúng ta đã bỏ lỡ 13 năm. Em nói em ko tiếc, nhưng anh lại rất tiếc. May mà tiếp theo, chúng ta vẫn còn mấy chục năm. Em hãy giao cho anh khoảng thời gian còn lại nhé. Anh sẽ dốc lòng, cố gắng hết sức để0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: đẹp  Màu sắc: giống hình  Đúng với mô tả: chuẩn  Hàng rất đẹpuwng cực kì luôn có dịp sẽ ủng hộ shop tiếp jsjjdnđkldjdbfdsnsnksmsnchdoekendndndndkdksđjskodksnsjdjsjnsjsodnưdjdđhiwkdnfbnndgdnnxjxodndndjjsnsndnxndnxnxjdjjđjibcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: 0 biet  Màu sắc: trắng  Đúng với mô tả: đúng  áo khá xinh chỉ có là hơi mỏng, có logo bên tay áo xinh lúm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: tot  Màu sắc: trắng  Đúng với mô tả: đẹp  Hình ảnh chỉ mang tính chất nhận xuuu ạ ❤️‍🩹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: vải cotton  Màu sắc: đen  Đúng với mô tả: vì rẻ nên chất lượng sp sẽ đúng với giá tiền  Giao hàng nhanh,áo ít chỉ thừa,chất lượng sp tốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: ko bt  Màu sắc: đen  Đúng với mô tả: đúng  Vải hơi mỏng nhưng mặc được giá cả hợp lý giao hàng nhanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Ịt been ơ lóng tham quỵt ao diu mài phén omg mãi chưa nôi năm mưi kí tự0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: mỏng  Màu sắc: đen  Đúng với mô tả: mỏng in hình 0 đúng  Áo thì mỏng in hình thì xấu giá thì mắc 0 mua lần 2🙁👌🤣👍🐽👌😣😃🤣👍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: mỏng  Màu sắc: k đẹp  Đúng với mô tả: không  Vải rất mỏng và còn ngắn mình rõ ràng mình lấy size L. Thất vọng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://shopee.vn/Tee-basic-ss1-CREWZ-%C3%A1o-thun-tay-l%E1%BB%A1-unisex-Local-Brand-AO_THUN_DVR-(V427)-i.37101020.13482385000?sp_atk=1d74551c-f7ad-4338-94c5-5364ebb933dd&xptdk=1d74551c-f7ad-4338-94c5-5364ebb933dd,1,Chất liệu: không biết  Đúng với mô tả: đúng  Áo mặc mát đẹp giao hàng nhanh đóng gói cẩn thận nên mua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
